System,CPU-Precision,Clock-MHz,MWIPS,MFLOPS,MIPS-VAX,MWIPS-DP,Lang,Opt,Cost-$K,Year-intro
HP 2100S FFP,P11,NA,0.0760,NA,NA,0.047,For,NA,NA,NA
HP 21MFX,P11,NA,0.417,NA,NA,0.192,For,NA,NA,NA
HP 3000,P13,NA,0.139,NA,NA,0.0085,For,NA,210,1973
HP 3000/30,P7,NA,0.105,NA,NA,0.038,For,NA,NA,NA
HP 3000/33,P7,NA,0.100,NA,NA,0.037,For,NA,NA,NA
HP 3000-III,P7,NA,0.0084,NA,NA,NA,BasI,NA,NA,NA
HP 3000-III,P7,NA,0.190,NA,NA,NA,Bas,NA,NA,NA
HP 3000-III,P7,NA,0.215,NA,NA,0.081,For,NA,NA,NA
HP 3000/40/44,P7,NA,0.328,NA,NA,0.115,For,NA,NA,NA
HP 1000E,P7,NA,0.177,NA,NA,0.091,For,NA,NA,NA
HP 1000F,P7,NA,0.428,NA,NA,0.215,For,NA,NA,NA
HP DN10000-1,Prism,18.2,14.3,3.37,9.44,14.1,For,Opt,70,1988
HP 9000/340,68030,16.7,1.70,NA,NA,1.50,For,xxx,9,1989
HP 9000/825S,PA1.1,12.5,3.60,NA,NA,2.50,For,xxx,42,1988
HP 9000/832S,PA1.1,14.9,7.50,NA,NA,5.40,For,xxx,NA,1990
HP 9000/835SE,PA1.1,14.9,9.00,NA,NA,6.60,For,xxx,99,1988
